node,collocate,O_11,R_1,C_1,N
5%,of,227,798,2869001,87953849
5%,and,80,798,2356489,87953849
5%,a,76,798,1959164,87953849
5%,in,58,798,1796248,87953849
5%,to,58,798,2360965,87953849
5%,than,57,798,135377,87953849
5%,only,38,798,134894,87953849
5%,about,29,798,155776,87953849
5%,by,29,798,494868,87953849
5%,the,26,798,5634186,87953849
5%,from,24,798,401078,87953849
5%,with,23,798,611938,87953849
5%,around,22,798,39937,87953849
5%,at,21,798,474285,87953849
5%,or,19,798,332163,87953849
5%,co,15,798,4068,87953849
5%,on,13,798,648841,87953849
5%,between,12,798,86744,87953849
5%,is,11,798,885647,87953849
5%,just,11,798,86246,87953849
5%,were,11,798,284346,87953849
5%,co2,10,798,153,87953849
5%,least,9,798,28298,87953849
5%,over,9,798,118580,87953849
5%,was,9,798,797893,87953849
5%,are,8,798,416459,87953849
5%,per,7,798,52056,87953849
5%,stake,7,798,2023,87953849
5%,that,7,798,892393,87953849
5%,discount,6,798,1889,87953849
5%,for,6,798,811974,87953849
5%,had,6,798,390978,87953849
5%,if,6,798,204959,87953849
5%,increase,6,798,15750,87953849
5%,less,6,798,36437,87953849
5%,level,6,798,24599,87953849
5%,rate,6,798,18020,87953849
5%,almost,5,798,29125,87953849
5%,below,5,798,13600,87953849
5%,difference,5,798,9762,87953849
5%,further,5,798,34085,87953849
5%,initial,5,798,6357,87953849
5%,respectively,5,798,3182,87953849
5%,rise,5,798,10091,87953849
5%,this,5,798,395560,87953849
5%,up,5,798,172530,87953849
5%,2,4,798,34300,87953849
5%,above,4,798,24369,87953849
5%,average,4,798,9243,87953849
5%,fell,4,798,9717,87953849
5%,say,4,798,45056,87953849
5%,some,4,798,146537,87953849
5%,two,4,798,124747,87953849
5%,under,4,798,57755,87953849
5%,v,4,798,8528,87953849
5%,within,4,798,42913,87953849
5%,another,3,798,52308,87953849
5%,approximately,3,798,2678,87953849
5%,as,3,798,610797,87953849
5%,barium,3,798,149,87953849
5%,beliefs,3,798,2335,87953849
5%,chance,3,798,11677,87953849
5%,containing,3,798,4037,87953849
5%,could,3,798,139728,87953849
5%,cut,3,798,15055,87953849
5%,down,3,798,74944,87953849
5%,extra,3,798,8111,87953849
5%,found,3,798,44954,87953849
5%,giemsa,3,798,32,87953849
5%,nearly,3,798,9836,87953849
5%,o,3,798,2601,87953849
5%,plate,3,798,3656,87953849
5%,probability,3,798,1480,87953849
5%,protestant,3,798,1376,87953849
5%,sds,3,798,141,87953849
5%,share,3,798,12653,87953849
5%,significance,3,798,4506,87953849
5%,stock,3,798,7592,87953849
5%,top,3,798,22579,87953849
5%,v/v,3,798,38,87953849
5%,while,3,798,52249,87953849
5%,will,3,798,231257,87953849
5%,+,2,798,3041,87953849
5%,0%,2,798,42,87953849
5%,10,2,798,18492,87953849
5%,1989,2,798,13364,87953849
5%,acetic,2,798,104,87953849
5%,admitted,2,798,5453,87953849
5%,against,2,798,52465,87953849
5%,be,2,798,590332,87953849
5%,being,2,798,80832,87953849
5%,buffer,2,798,684,87953849
5%,but,2,798,380030,87953849
5%,case,2,798,42153,87953849
5%,cash,2,798,7970,87953849
5%,catholic,2,798,3791,87953849
5%,christianity,2,798,1728,87953849
5%,compared,2,798,8419,87953849
5%,despite,2,798,14136,87953849
5%,dialects,2,798,233,87953849
5%,did,2,798,100881,87953849
5%,dividend,2,798,1389,87953849
5%,drop,2,798,4376,87953849
5%,dtt,2,798,39,87953849
5%,each,2,798,57223,87953849
5%,exceed,2,798,1008,87953849
5%,exceeding,2,798,500,87953849
5%,fall,2,798,10256,87953849
5%,fcs,2,798,33,87953849
5%,fetal,2,798,353,87953849
5%,glucose,2,798,585,87953849
5%,glycerol,2,798,39,87953849
5%,greatly,2,798,3218,87953849
5%,hits,2,798,1229,87953849
5%,hydrochloric,2,798,71,87953849
5%,i,2,798,559350,87953849
5%,imports,2,798,1933,87953849
5%,increased,2,798,12557,87953849
5%,incubator,2,798,59,87953849
5%,japan,2,798,6429,87953849
5%,june,2,798,13855,87953849
5%,last,2,798,66078,87953849
5%,levy,2,798,862,87953849
5%,limit,2,798,4604,87953849
5%,market,2,798,28404,87953849
5%,maybe,2,798,6912,87953849
5%,never,2,798,45933,87953849
5%,no,2,798,166982,87953849
5%,non-fat,2,798,4,87953849
5%,normal,2,798,11266,87953849
5%,paid,2,798,13238,87953849
5%,patients,2,798,16906,87953849
5%,perhaps,2,798,28935,87953849
5%,polyacrylamide,2,798,66,87953849
5%,random,2,798,2208,87953849
5%,reduction,2,798,4488,87953849
5%,representing,2,798,2191,87953849
5%,says,2,798,31556,87953849
5%,sucrose,2,798,73,87953849
5%,taking,2,798,19288,87953849
5%,there,2,798,246379,87953849
5%,threshold,2,798,958,87953849
5%,total,2,798,16501,87953849
5%,unemployment,2,798,6054,87953849
5%,value,2,798,16991,87953849
5%,w/v,2,798,22,87953849
5%,when,2,798,180669,87953849
5%,would,2,798,211498,87953849
5%,#NAME?,1,798,3,87953849
5%,"£3,228",1,798,1,87953849
5%,=,1,798,3609,87953849
5%,±,1,798,47,87953849
5%,µg/ml,1,798,86,87953849
5%,1,1,798,38305,87953849
5%,1%,1,798,509,87953849
5%,1%-,1,798,1,87953849
5%,Jan-21,1,798,1,87953849
5%,10%,1,798,1345,87953849
5%,12%,1,798,253,87953849
5%,15,1,798,10865,87953849
5%,15–19,1,798,19,87953849
5%,17/321,1,798,1,87953849
5%,1929,1,798,708,87953849
5%,195,1,798,91,87953849
5%,1951,1,798,1024,87953849
5%,1980-87,1,798,21,87953849
5%,1988,1,798,10310,87953849
5%,2%,1,798,404,87953849
5%,24,1,798,6432,87953849
5%,3,1,798,24909,87953849
5%,3-mm-thick,1,798,1,87953849
5%,4,1,798,20034,87953849
5%,4%,1,798,329,87953849
5%,43/802,1,798,1,87953849
5%,6,1,798,13359,87953849
5%,6%,1,798,339,87953849
5%,6/122,1,798,1,87953849
5%,62/l,1,798,1,87953849
5%,7%,1,798,329,87953849
5%,77/1438,1,798,1,87953849
5%,78%,1,798,70,87953849
5%,8%,1,798,343,87953849
5%,85,1,798,929,87953849
5%,92,1,798,953,87953849
5%,accounted,1,798,1369,87953849
5%,acquired,1,798,3923,87953849
5%,acquiring,1,798,866,87953849
5%,added,1,798,14623,87953849
5%,aged,1,798,4586,87953849
5%,alcoholic,1,798,738,87953849
5%,alternative,1,798,8255,87953849
5%,aluminium,1,798,973,87953849
5%,australia,1,798,4737,87953849
5%,authorities,1,798,12115,87953849
5%,averages,1,798,310,87953849
5%,b,1,798,14897,87953849
5%,bachman,1,798,26,87953849
5%,barely,1,798,2145,87953849
5%,beef,1,798,1305,87953849
5%,been,1,798,238344,87953849
5%,biliary,1,798,369,87953849
5%,binding,1,798,2529,87953849
5%,bovine,1,798,215,87953849
5%,c02,1,798,26,87953849
5%,can,1,798,195301,87953849
5%,carbon,1,798,2209,87953849
5%,cases,1,798,17380,87953849
5%,cheaper,1,798,1846,87953849
5%,chloride,1,798,321,87953849
5%,christian,1,798,6491,87953849
5%,claimed,1,798,8086,87953849
5%,climbed,1,798,2173,87953849
5%,coil,1,798,399,87953849
5%,combined,1,798,4320,87953849
5%,commission,1,798,10020,87953849
5%,concentration,1,798,3736,87953849
5%,conditions,1,798,14753,87953849
5%,contain,1,798,4386,87953849
5%,contained,1,798,4705,87953849
5%,contaminants,1,798,79,87953849
5%,contribution,1,798,5006,87953849
5%,control,1,798,27576,87953849
5%,copies,1,798,3268,87953849
5%,courts,1,798,5757,87953849
5%,death,1,798,19278,87953849
5%,debts,1,798,1805,87953849
5%,deposit,1,798,1853,87953849
5%,devaluation,1,798,519,87953849
5%,deviated,1,798,51,87953849
5%,dextran,1,798,13,87953849
5%,dextrose,1,798,26,87953849
5%,different,1,798,42405,87953849
5%,dismiss,1,798,784,87953849
5%,doctor,1,798,9027,87953849
5%,documented,1,798,787,87953849
5%,dose,1,798,1567,87953849
5%,dreaming,1,798,749,87953849
5%,during,1,798,41890,87953849
5%,e,1,798,4680,87953849
5%,e.g.,1,798,4827,87953849
5%,e+,1,798,2,87953849
5%,earn,1,798,1745,87953849
5%,edta,1,798,146,87953849
5%,either,1,798,24671,87953849
5%,environment,1,798,12250,87953849
5%,eosinophils,1,798,36,87953849
5%,estimated,1,798,4760,87953849
5%,europe,1,798,17369,87953849
5%,ever,1,798,23263,87953849
5%,exceeded,1,798,873,87953849
5%,exceeds,1,798,577,87953849
5%,excess,1,798,2682,87953849
5%,exclusion,1,798,1439,87953849
5%,factor,1,798,5938,87953849
5%,fat,1,798,3983,87953849
5%,fibre,1,798,1487,87953849
5%,fierce,1,798,1485,87953849
5%,five,1,798,26478,87953849
5%,foetal,1,798,102,87953849
5%,four,1,798,32978,87953849
5%,friend,1,798,15272,87953849
5%,gap,1,798,3140,87953849
5%,gels,1,798,140,87953849
5%,get,1,798,60137,87953849
5%,growth,1,798,12416,87953849
5%,h,1,798,3815,87953849
5%,haematocrit,1,798,9,87953849
5%,have,1,798,383557,87953849
5%,his,1,798,395055,87953849
5%,hong,1,798,2766,87953849
5%,horse,1,798,6855,87953849
5%,hurdle,1,798,536,87953849
5%,information,1,798,36229,87953849
5%,italian,1,798,4646,87953849
5%,kong,1,798,2769,87953849
5%,labour,1,798,25147,87953849
5%,laws,1,798,4490,87953849
5%,layer,1,798,2409,87953849
5%,let,1,798,21167,87953849
5%,life,1,798,51917,87953849
5%,line,1,798,21693,87953849
5%,little,1,798,53444,87953849
5%,live,1,798,14978,87953849
5%,lose,1,798,5564,87953849
5%,loss,1,798,11143,87953849
5%,losses,1,798,3716,87953849
5%,lost,1,798,16981,87953849
5%,mainly,1,798,6603,87953849
5%,maintaining,1,798,2048,87953849
5%,mark,1,798,10785,87953849
5%,markka,1,798,19,87953849
5%,marvel,1,798,197,87953849
5%,maximum,1,798,4780,87953849
5%,may,1,798,121842,87953849
5%,mere,1,798,3263,87953849
5%,methyl-cellulose,1,798,1,87953849
5%,microscopical,1,798,31,87953849
5%,minimum,1,798,4672,87953849
5%,ml,1,798,1102,87953849
5%,modest,1,798,2179,87953849
5%,monocytes,1,798,36,87953849
5%,morbidity,1,798,354,87953849
5%,more,1,798,192617,87953849
5%,mostly,1,798,3548,87953849
5%,muslim,1,798,1044,87953849
5%,native,1,798,2569,87953849
5%,net,1,798,6334,87953849
5%,not,1,798,402721,87953849
5%,now,1,798,108985,87953849
5%,off,1,798,55513,87953849
5%,one,1,798,236518,87953849
5%,opcs,1,798,161,87953849
5%,other,1,798,138901,87953849
5%,others,1,798,26217,87953849
5%,overall,1,798,7320,87953849
5%,owns,1,798,863,87953849
5%,p.a.,1,798,106,87953849
5%,pay,1,798,17860,87953849
5%,percentage,1,798,2579,87953849
5%,petechiae,1,798,8,87953849
5%,ph7.4,1,798,21,87953849
5%,place,1,798,43974,87953849
5%,plus,1,798,6383,87953849
5%,polyacrylamide/38:1,1,798,1,87953849
5%,poorest,1,798,526,87953849
5%,postpone,1,798,342,87953849
5%,powder,1,798,1206,87953849
5%,practices,1,798,4409,87953849
5%,probes,1,798,488,87953849
5%,profit,1,798,5503,87953849
5%,proportion,1,798,6296,87953849
5%,pump,1,798,1113,87953849
5%,pure,1,798,3158,87953849
5%,quality,1,798,15163,87953849
5%,reached,1,798,11531,87953849
5%,reasonable,1,798,5568,87953849
5%,received,1,798,12573,87953849
5%,records,1,798,7267,87953849
5%,refusal,1,798,1808,87953849
5%,remainder,1,798,1622,87953849
5%,remaining,1,798,5064,87953849
5%,remains,1,798,8687,87953849
5%,represented,1,798,5120,87953849
5%,rm,1,798,109,87953849
5%,roughly,1,798,2021,87953849
5%,royalty,1,798,505,87953849
5%,s,1,798,5606,87953849
5%,said,1,798,167477,87953849
5%,sales,1,798,9676,87953849
5%,school,1,798,32346,87953849
5%,science,1,798,10067,87953849
5%,seats,1,798,4378,87953849
5%,securing,1,798,914,87953849
5%,security,1,798,13172,87953849
5%,see,1,798,89101,87953849
5%,shia,1,798,185,87953849
5%,since,1,798,46914,87953849
5%,sister,1,798,6509,87953849
5%,skimming,1,798,143,87953849
5%,slip,1,798,2069,87953849
5%,slower,1,798,873,87953849
5%,solution,1,798,6563,87953849
5%,sometimes,1,798,17884,87953849
5%,spermicides,1,798,12,87953849
5%,splashed,1,798,329,87953849
5%,stain,1,798,453,87953849
5%,step-parents,1,798,25,87953849
5%,still,1,798,63942,87953849
5%,stranger,1,798,1418,87953849
5%,sulphosalicylic,1,798,1,87953849
5%,sundries,1,798,16,87953849
5%,sunni,1,798,115,87953849
5%,tax,1,798,15162,87953849
5%,teamwork,1,798,233,87953849
5%,then,1,798,118566,87953849
5%,theoretical,1,798,2929,87953849
5%,three,1,798,60575,87953849
5%,tolerable,1,798,189,87953849
5%,treasury,1,798,2536,87953849
5%,u-,1,798,6,87953849
5%,uncle,1,798,3119,87953849
5%,under-represented,1,798,88,87953849
5%,usually,1,798,17344,87953849
5%,violated,1,798,300,87953849
5%,vol/,1,798,2,87953849
5%,volatile,1,798,496,87953849
5%,vs,1,798,460,87953849
5%,water,1,798,31432,87953849
5%,well,1,798,80488,87953849
5%,what,1,798,164772,87953849
5%,which,1,798,342767,87953849
5%,white,1,798,21848,87953849
5%,withholding,1,798,264,87953849
5%,worst,1,798,4595,87953849
5%,wt/v,1,798,1,87953849
5%,yet,1,798,30671,87953849
5%,yield,1,798,2055,87953849
5%,you,1,798,399160,87953849
5%,zealand,1,798,2572,87953849
50p,a,44,287,1959164,87953849
50p,and,30,287,2356489,87953849
50p,for,26,287,811974,87953849
50p,of,26,287,2869001,87953849
50p,per,26,287,52056,87953849
50p,at,21,287,474285,87953849
50p,each,20,287,57223,87953849
50p,to,17,287,2360965,87953849
50p,plus,13,287,6383,87953849
50p,is,11,287,885647,87953849
50p,10s,10,287,121,87953849
50p,on,10,287,648841,87953849
50p,only,10,287,134894,87953849
50p,the,9,287,5634186,87953849
50p,in,8,287,1796248,87953849
50p,from,7,287,401078,87953849
50p,months,7,287,22193,87953849
50p,admission,6,287,2201,87953849
50p,postage,6,287,329,87953849
50p,about,4,287,155776,87953849
50p,by,4,287,494868,87953849
50p,children,4,287,41856,87953849
50p,denominations,4,287,263,87953849
50p,off,4,287,55513,87953849
50p,or,4,287,332163,87953849
50p,pay,4,287,17860,87953849
50p,price,4,287,17006,87953849
50p,was,4,287,797893,87953849
50p,'s,3,287,585446,87953849
50p,be,3,287,590332,87953849
50p,between,3,287,86744,87953849
50p,cheaper,3,287,1846,87953849
50p,if,3,287,204959,87953849
50p,increase,3,287,15750,87953849
50p,p&p,3,287,196,87953849
50p,save,3,287,6348,87953849
50p,send,3,287,6392,87953849
50p,shillings,3,287,490,87953849
50p,£1,2,287,1404,87953849
50p,+,2,287,3041,87953849
50p,10p,2,287,210,87953849
50p,add,2,287,7043,87953849
50p,another,2,287,52308,87953849
50p,are,2,287,416459,87953849
50p,around,2,287,39937,87953849
50p,as,2,287,610797,87953849
50p,booking,2,287,1103,87953849
50p,contributed,2,287,2198,87953849
50p,costs,2,287,14232,87953849
50p,earning,2,287,993,87953849
50p,fee,2,287,2699,87953849
50p,further,2,287,34085,87953849
50p,just,2,287,86246,87953849
50p,money-off,2,287,9,87953849
50p,one,2,287,236518,87953849
50p,paying,2,287,3674,87953849
50p,piece,2,287,7777,87953849
50p,rise,2,287,10091,87953849
50p,tax,2,287,15162,87953849
50p,than,2,287,135377,87953849
50p,that,2,287,892393,87953849
50p,up,2,287,172530,87953849
50p,voucher,2,287,301,87953849
50p,with,2,287,611938,87953849
50p,worth,2,287,10695,87953849
50p,@,1,287,36,87953849
50p,£1/unwaged,1,287,1,87953849
50p,10/,1,287,15,87953849
50p,1993,1,287,5687,87953849
50p,20p,1,287,181,87953849
50p,60p,1,287,52,87953849
50p,adding,1,287,2980,87953849
50p,adds,1,287,2131,87953849
50p,adults,1,287,3098,87953849
50p,ahead,1,287,7965,87953849
50p,airless,1,287,49,87953849
50p,an,1,287,317129,87953849
50p,basement,1,287,754,87953849
50p,bit,1,287,14164,87953849
50p,book,1,287,21937,87953849
50p,bus,1,287,4322,87953849
50p,cheap,1,287,3193,87953849
50p,cheque,1,287,1631,87953849
50p,cheque/po,1,287,9,87953849
50p,choose,1,287,6195,87953849
50p,closed,1,287,8794,87953849
50p,coin,1,287,1120,87953849
50p,coins,1,287,1331,87953849
50p,competitors,1,287,1560,87953849
50p,conference,1,287,9253,87953849
50p,cost,1,287,18414,87953849
50p,costing,1,287,997,87953849
50p,deserve,1,287,1145,87953849
50p,despite,1,287,14136,87953849
50p,different,1,287,42405,87953849
50p,discount,1,287,1889,87953849
50p,dogs,1,287,3948,87953849
50p,earn,1,287,1745,87953849
50p,extra,1,287,8111,87953849
50p,falling,1,287,4298,87953849
50p,families,1,287,7755,87953849
50p,fish,1,287,9997,87953849
50p,five,1,287,26478,87953849
50p,front,1,287,18584,87953849
50p,garden,1,287,9875,87953849
50p,ghostbusters,1,287,14,87953849
50p,give,1,287,35162,87953849
50p,hammer,1,287,1028,87953849
50p,her,1,287,287715,87953849
50p,how,1,287,79495,87953849
50p,however,1,287,58769,87953849
50p,immediately,1,287,9676,87953849
50p,including,1,287,23473,87953849
50p,inclusive,1,287,394,87953849
50p,income,1,287,11146,87953849
50p,insurance,1,287,6355,87953849
50p,join,1,287,6644,87953849
50p,labour,1,287,25147,87953849
50p,leaflet,1,287,1011,87953849
50p,leap,1,287,956,87953849
50p,letters,1,287,7103,87953849
50p,levy,1,287,862,87953849
50p,lost,1,287,16981,87953849
50p,magnet,1,287,305,87953849
50p,manage,1,287,3438,87953849
50p,maybe,1,287,6912,87953849
50p,me,1,287,103673,87953849
50p,mere,1,287,3263,87953849
50p,million,1,287,22779,87953849
50p,my,1,287,123095,87953849
50p,newsletters,1,287,145,87953849
50p,normally,1,287,6972,87953849
50p,offering,1,287,4795,87953849
50p,other,1,287,138901,87953849
50p,our,1,287,80452,87953849
50p,out,1,287,167338,87953849
50p,p.o,1,287,1,87953849
50p,packing,1,287,821,87953849
50p,pandp,1,287,1,87953849
50p,park,1,287,10296,87953849
50p,petrol,1,287,1967,87953849
50p,presented,1,287,7696,87953849
50p,put,1,287,40565,87953849
50p,radiator,1,287,388,87953849
50p,rate,1,287,18020,87953849
50p,reached,1,287,11531,87953849
50p,really,1,287,28608,87953849
50p,record,1,287,13761,87953849
50p,savignon,1,287,1,87953849
50p,say,1,287,45056,87953849
50p,set,1,287,41632,87953849
50p,shop,1,287,8409,87953849
50p,since,1,287,46914,87953849
50p,single,1,287,17213,87953849
50p,socialist,1,287,3251,87953849
50p,some,1,287,146537,87953849
50p,stuck,1,287,2619,87953849
50p,subway,1,287,140,87953849
50p,ticket,1,287,1810,87953849
50p,toll,1,287,784,87953849
50p,uk,1,287,17296,87953849
50p,units,1,287,6649,87953849
50p,when,1,287,180669,87953849
50p,whether,1,287,30946,87953849
50p,years,1,287,81352,87953849
50p,you,1,287,399160,87953849
action,of,2755,20439,2869001,87953849
action,the,2676,20439,5634186,87953849
action,in,1759,20439,1796248,87953849
action,and,1352,20439,2356489,87953849
action,to,1165,20439,2360965,87953849
action,for,1135,20439,811974,87953849
action,an,991,20439,317129,87953849
action,is,856,20439,885647,87953849
action,against,702,20439,52465,87953849
action,on,551,20439,648841,87953849
action,into,540,20439,146665,87953849
action,was,501,20439,797893,87953849
action,by,500,20439,494868,87953849
action,legal,451,20439,12540,87953849
action,take,409,20439,57661,87953849
action,which,347,20439,342767,87953849
action,industrial,337,20439,11028,87953849
action,'s,326,20439,585446,87953849
action,that,314,20439,892393,87953849
action,this,273,20439,395560,87953849
action,or,267,20439,332163,87953849
action,no,258,20439,166982,87953849
action,any,240,20439,105866,87953849
action,as,223,20439,610797,87953849
action,at,199,20439,474285,87953849
action,such,199,20439,104286,87953849
action,group,198,20439,38590,87953849
action,but,187,20439,380030,87953849
action,his,184,20439,395055,87953849
action,taken,183,20439,32110,87953849
action,further,173,20439,34085,87953849
action,with,173,20439,611938,87953849
action,disciplinary,167,20439,1044,87953849
action,political,164,20439,29370,87953849
action,would,162,20439,211498,87953849
action,social,161,20439,40471,87953849
action,strike,155,20439,5176,87953849
action,will,154,20439,231257,87953849
action,has,147,20439,240091,87953849
action,military,146,20439,11098,87953849
action,what,144,20439,164772,87953849
action,if,141,20439,204959,87953849
action,court,137,20439,27402,87953849
action,from,134,20439,401078,87953849
action,can,130,20439,195301,87953849
action,plan,129,20439,12977,87953849
action,government,126,20439,58759,87953849
action,their,124,20439,241128,87953849
action,direct,120,20439,11203,87953849
action,programme,120,20439,17014,87953849
action,had,115,20439,390978,87953849
action,taking,115,20439,19288,87953849
action,over,114,20439,118580,87953849
action,community,110,20439,21613,87953849
action,appropriate,109,20439,10754,87953849
action,under,105,20439,57755,87953849
action,should,103,20439,96927,87953849
action,some,102,20439,146537,87953849
action,positive,100,20439,7662,87953849
action,are,94,20439,416459,87953849
action,may,94,20439,121842,87953849
action,when,92,20439,180669,87953849
action,committee,88,20439,16923,87953849
action,it,85,20439,800891,87953849
action,he,84,20439,564199,87953849
action,immediate,83,20439,5826,87953849
action,collective,82,20439,2549,87953849
action,could,82,20439,139728,87953849
action,urgent,82,20439,1964,87953849
action,after,80,20439,106792,87953849
action,libel,79,20439,796,87953849
action,a,76,20439,1959164,87953849
action,civil,73,20439,8193,87953849
action,its,73,20439,156863,87953849
action,human,69,20439,18660,87953849
action,remedial,68,20439,317,87953849
action,research,67,20439,26042,87953849
action,',66,20439,45420,87953849
action,corrective,66,20439,222,87953849
action,effective,65,20439,9540,87953849
action,party,63,20439,37373,87953849
action,joint,62,20439,6575,87953849
action,outdoor,60,20439,1025,87953849
action,team,59,20439,17785,87953849
action,where,58,20439,89680,87953849
action,because,57,20439,77967,87953849
action,they,57,20439,323273,87953849
action,before,56,20439,76974,87953849
action,brought,54,20439,18114,87953849
action,must,53,20439,63903,87953849
action,took,53,20439,34182,87953849
action,you,53,20439,399160,87953849
action,state,52,20439,37344,87953849
action,every,50,20439,34330,87953849
action,her,46,20439,287715,87953849
action,our,46,20439,80452,87953849
action,poverty,46,20439,2889,87953849
action,prompt,46,20439,780,87953849
action,between,44,20439,86744,87953849
action,rearguard,44,20439,120,87953849
action,police,43,20439,25079,87953849
action,than,43,20439,135377,87953849
action,until,43,20439,37688,87953849
action,were,43,20439,284346,87953849
action,all,42,20439,233223,87953849
action,first,42,20439,110607,87953849
action,international,42,20439,21727,87953849
action,plans,42,20439,10998,87953849
action,project,42,20439,14240,87953849
action,sample,42,20439,4452,87953849
action,secondary,41,20439,4594,87953849
action,through,41,20439,73148,87953849
action,we,41,20439,242307,87953849
action,similar,40,20439,17551,87953849
action,being,39,20439,80832,87953849
action,drastic,39,20439,633,87953849
action,takes,39,20439,10349,87953849
action,affirmative,38,20439,230,87953849
action,decisive,38,20439,1178,87953849
action,enforcement,38,20439,1300,87953849
action,other,38,20439,138901,87953849
action,without,38,20439,42369,87953849
action,evasive,37,20439,156,87953849
action,be,36,20439,590332,87953849
action,during,36,20439,41890,87953849
action,groups,35,20439,18333,87953849
action,not,35,20439,402721,87953849
action,see,35,20439,89101,87953849
action,concerted,34,20439,299,87953849
action,more,34,20439,192617,87953849
action,administrative,33,20439,3458,87953849
action,housing,33,20439,8467,87953849
action,including,33,20439,23473,87953849
action,necessary,33,20439,17113,87953849
action,reflex,33,20439,353,87953849
action,replay,33,20439,489,87953849
action,voluntary,33,20439,3531,87953849
action,within,33,20439,42913,87953849
action,democratic,32,20439,5748,87953849
action,one,32,20439,236518,87953849
action,only,32,20439,134894,87953849
action,based,31,20439,17662,87953849
action,so,31,20439,178328,87953849
action,while,31,20439,52249,87953849
action,avoiding,30,20439,1390,87953849
action,whatever,30,20439,9799,87953849
action,about,29,20439,155776,87953849
action,future,29,20439,20942,87953849
action,local,29,20439,42638,87953849
action,now,29,20439,108985,87953849
action,rather,29,20439,38364,87953849
action,wave,29,20439,3329,87953849
action,employment,28,20439,9955,87953849
action,unilateral,28,20439,337,87953849
action,class,27,20439,16783,87953849
action,even,27,20439,81448,87953849
action,firm,27,20439,11563,87953849
action,media,27,20439,7623,87953849
action,possible,27,20439,32106,87953849
action,required,27,20439,15891,87953849
action,same,27,20439,54263,87953849
action,us,27,20439,65342,87953849
action,following,26,20439,25838,87953849
action,my,26,20439,123095,87953849
action,real,26,20439,21050,87953849
action,she,26,20439,308727,87953849
action,teams,26,20439,3709,87953849
action,common,25,20439,19096,87953849
action,radical,25,20439,3909,87953849
action,right,25,20439,55636,87953849
action,since,25,20439,46914,87953849
action,tough,25,20439,2947,87953849
action,unless,25,20439,9526,87953849
action,violent,25,20439,2603,87953849
action,enemy,24,20439,3095,87953849
action,mass,24,20439,6925,87953849
action,might,24,20439,51008,87953849
action,national,24,20439,35848,87953849
action,negligence,24,20439,1241,87953849
action,potential,24,20439,10734,87953849
action,practical,24,20439,7377,87953849
action,does,23,20439,51230,87953849
action,needs,23,20439,18105,87953849
action,belfast,22,20439,3529,87953849
action,communicative,22,20439,467,87953849
action,default,22,20439,998,87953849
action,governmental,22,20439,608,87953849
action,i,22,20439,559350,87953849
action,then,22,20439,118566,87953849
action,today,22,20439,20600,87953849
action,again,21,20439,48399,87953849
action,environmental,21,20439,7898,87953849
action,individual,21,20439,18114,87953849
action,rating,21,20439,1119,87953849
action,last,20,20439,66078,87953849
action,own,20,20439,64134,87953849
action,particular,20,20439,26281,87953849
action,proposed,20,20439,7892,87953849
action,said,20,20439,167477,87953849
action,though,20,20439,38944,87953849
action,upon,20,20439,21937,87953849
action,both,19,20439,64259,87953849
action,came,19,20439,39805,87953849
action,date,19,20439,16104,87953849
action,each,19,20439,57223,87953849
action,energy,19,20439,11646,87953849
action,live,19,20439,14978,87953849
action,protest,19,20439,3403,87953849
action,pump,19,20439,1113,87953849
action,seems,19,20439,18848,87953849
action,shall,19,20439,16773,87953849
action,swift,19,20439,1191,87953849
action,there,19,20439,246379,87953849
action,begins,18,20439,3078,87953849
action,campaign,18,20439,9024,87953849
action,dramatic,18,20439,3704,87953849
action,have,18,20439,383557,87953849
action,man,18,20439,54539,87953849
action,mia,18,20439,212,87953849
action,pending,18,20439,832,87953849
action,quick,18,20439,4805,87953849
action,strong,18,20439,14959,87953849
action,tougher,18,20439,571,87953849
action,trusts,18,20439,1369,87953849
action,german,17,20439,10507,87953849
action,independent,17,20439,10338,87953849
action,keyword,17,20439,403,87953849
action,round-up,17,20439,189,87953849
action,united,17,20439,18423,87953849
action,did,16,20439,100881,87953849
action,however,16,20439,58769,87953849
action,illegal,16,20439,2289,87953849
action,new,16,20439,117532,87953849
action,official,16,20439,9378,87953849
action,preventive,16,20439,407,87953849
action,although,15,20439,41080,87953849
action,arose,15,20439,1505,87953849
action,emergency,15,20439,3709,87953849
action,english,15,20439,21812,87953849
action,little,15,20439,53444,87953849
action,needed,15,20439,15125,87953849
action,next,15,20439,38485,87953849
action,personal,15,20439,16658,87953849
action,potentials,15,20439,143,87953849
action,private,15,20439,16851,87953849
action,round,15,20439,23610,87953849
action,saw,15,20439,22931,87953849
action,stations,15,20439,3478,87953849
action,tomorrow,15,20439,6466,87953849
action,towards,15,20439,25976,87953849
action,unofficial,15,20439,601,87953849
action,city,14,20439,21342,87953849
action,criminal,14,20439,4829,87953849
action,level,14,20439,24599,87953849
action,like,14,20439,109553,87953849
action,main,14,20439,23462,87953849
action,network,14,20439,6941,87953849
action,points,14,20439,13148,87953849
action,precipitate,14,20439,221,87953849
action,public,14,20439,36722,87953849
action,retaliatory,14,20439,85,87953849
action,revolutionary,14,20439,2333,87953849
action,samples,14,20439,2698,87953849
action,scenes,14,20439,1975,87953849
action,seemed,14,20439,21433,87953849
action,subsequent,14,20439,4309,87953849
action,union,14,20439,16065,87953849
action,vigorous,14,20439,945,87953849
